Ticker,Date,Strategy,Close,Signal,Position,MarketReturn,StrategyReturn,Equity,BuyHoldEquity
GS,2022-10-17,ARIMA,286.942627,HOLD,0.0,0.0,0.0,100000.0,100000.0
GS,2022-10-18,ARIMA,293.6224975585937,HOLD,0.0,0.02327946401143688,0.0,100000.0,102327.9464011437
GS,2022-10-19,ARIMA,291.6672058105469,HOLD,0.0,-0.006659202766493122,-0.0,100000.0,101646.52385737962
GS,2022-10-20,ARIMA,290.7784118652344,HOLD,0.0,-0.0030472878938944126,-0.0,100000.0,101336.77763577258
GS,2022-10-21,ARIMA,304.1474609,HOLD,0.0,0.04597675924085354,0.0,100000.0,105995.9142633764
GS,2022-10-24,ARIMA,307.51544189453125,HOLD,0.0,0.011073513435111648,0.0,100000.0,107169.66144403884
GS,2022-10-25,ARIMA,310.9769897460937,HOLD,0.0,0.011256500910122202,0.0,100000.0,108376.01683562115
GS,2022-10-26,ARIMA,314.05487060546875,HOLD,0.0,0.009897455312973813,0.0,100000.0,109448.66361924981
GS,2022-10-27,ARIMA,315.44891357421875,HOLD,0.0,0.004438851612339034,0.0,100000.0,109934.48999622447
GS,2022-10-28,ARIMA,319.7898254394531,HOLD,0.0,0.013761061390414442,0.0,100000.0,111447.3052619864
GS,2022-10-31,ARIMA,322.3065185546875,HOLD,0.0,0.007869834857240798,0.0,100000.0,112324.37714968275
GS,2022-11-01,ARIMA,326.1141662597656,BUY,1.0,0.01181374711921035,0.01031374711921035,101031.37471192103,113651.34893665192
GS,2022-11-02,ARIMA,327.2462158203125,HOLD,1.0,0.0034713289935559555,0.0034713289935559555,101382.08785221734,114045.87015937247
GS,2022-11-03,ARIMA,326.3854675292969,BUY,1.0,-0.0026302772939879038,-0.0026302772939879038,101115.42484852255,113745.89789661918
GS,2022-11-04,ARIMA,334.8428649902344,BUY,1.0,0.02591229788801286,0.02591229788801286,103735.55785827046,116693.31548645587
GS,2022-11-07,ARIMA,339.1932067871094,SELL,0.0,0.012992189028731005,-0.0015,103579.95452148307,118209.41709964526
GS,2022-11-08,ARIMA,340.5590515136719,BUY,1.0,0.0040267455221170145,0.0025267455221170145,103841.67470775131,118685.41634062331
GS,2022-11-09,ARIMA,338.66925048828125,BUY,1.0,-0.005549114072848971,-0.005549114072848971,103265.44540928233,118026.81742656563
GS,2022-11-10,ARIMA,353.9280700683594,BUY,1.0,0.045055225882121075,0.045055225882121075,107918.09337801539,123344.5423458674
GS,2022-11-11,ARIMA,360.3459473,SELL,0.0,0.01813328123536806,-0.0015,107756.21623794838,125581.18362107278
GS,2022-11-14,ARIMA,357.7170715332031,BUY,1.0,-0.007295422042330357,-0.008795422042330357,106808.45483845101,124665.01588598167
GS,2022-11-15,ARIMA,358.2035827636719,BUY,1.0,0.001360044764940893,0.001360044764940893,106953.71911830547,124834.56588820867
GS,2022-11-16,ARIMA,357.6889648,SELL,0.0,-0.0014366633624973701,-0.0015,106793.28853962802,124655.22064102381
GS,2022-11-17,ARIMA,355.3033142089844,BUY,1.0,-0.006669623124519797,-0.008169623124519796,105920.82762003117,123823.81729884433
GS,2022-11-18,ARIMA,354.7607422,BUY,1.0,-0.0015270671206439879,-0.0015270671206439879,105759.07940678122,123634.73001869462
GS,2022-11-21,ARIMA,355.7055969238281,HOLD,1.0,0.002663357613835071,0.002663357613835071,106040.75365615147,123964.01351822437
GS,2022-11-22,ARIMA,359.12969970703125,HOLD,1.0,0.0096262268932934,0.0096262268932934,107061.52601078141,125157.31923895408
GS,2022-11-23,ARIMA,361.35638427734375,HOLD,1.0,0.00620022396401354,0.00620022396401354,107725.33144997731,125933.32264897112
GS,2022-11-25,ARIMA,363.7980957,BUY,1.0,0.00675707287568561,0.00675707287568561,108453.2393651422,126784.26328758746
GS,2022-11-28,ARIMA,357.7170715332031,HOLD,1.0,-0.01671538207228951,-0.01671538207228951,106640.40203217637,124665.01588598169
GS,2022-11-29,ARIMA,358.98004150390625,BUY,1.0,0.003530639354979437,0.003530639354979437,107016.910832422,125105.16309725787
GS,2022-11-30,ARIMA,363.6319274902344,SELL,0.0,0.01295862011391935,-0.0015,106856.38546617338,126726.35338012516
GS,2022-12-01,ARIMA,361.4284362792969,HOLD,0.0,-0.0060596747544855445,-0.0,106856.38546617338,125958.4328958196
GS,2022-12-02,ARIMA,358.3867492675781,BUY,1.0,-0.008415737961935732,-0.009915737961935732,105796.82554833121,124898.39973047232
GS,2022-12-05,ARIMA,349.8739318847656,BUY,1.0,-0.023753158843651034,-0.023753158843651034,103283.81674592766,121931.6682023566
GS,2022-12-06,ARIMA,341.7472229003906,BUY,1.0,-0.023227534959796903,-0.023227534959796903,100884.78828168038,119099.49611648
GS,2022-12-07,ARIMA,338.9315795898437,BUY,1.0,-0.008238964713892072,-0.008238964713892072,100053.60207085914,118118.239570534
GS,2022-12-08,ARIMA,337.1988220214844,SELL,0.0,-0.005112411096234282,-0.0015,99903.52166775287,117514.37057188594
GS,2022-12-09,ARIMA,338.1970215,BUY,1.0,0.002960269767644741,0.001460269767644741,100049.40776012551,117862.2448103537
GS,2022-12-12,ARIMA,342.0014648,HOLD,1.0,0.011249192210878167,0.011249192210878167,101174.88277860369,119188.09985663094
GS,2022-12-13,ARIMA,347.1901550292969,HOLD,1.0,0.015171543877249727,0.015171543877249727,102709.86195195488,120996.36734325186
GS,2022-12-14,ARIMA,339.3646850585937,HOLD,1.0,-0.02253943511169798,-0.02253943511169798,100394.83968315735,118269.17757276745
GS,2022-12-15,ARIMA,329.4299621582031,BUY,1.0,-0.029274474739984457,-0.029274474739984457,97455.83348482796,114806.90952139474
GS,2022-12-16,ARIMA,326.1528625488281,BUY,1.0,-0.009947788561506798,-0.009947788561506798,96486.3634592355,113664.83466007587
GS,2022-12-19,ARIMA,324.5143127441406,SELL,0.0,-0.005023870684078946,-0.0015,96341.63391404664,113093.79722941644
GS,2022-12-20,ARIMA,324.4013366699219,HOLD,0.0,-0.0003481389565329618,-0.0,96341.63391404664,113054.42487285864
GS,2022-12-21,ARIMA,329.7407227,HOLD,0.0,0.0164591986114746,0.0,96341.63391404664,114915.21010574706
GS,2022-12-22,ARIMA,325.4277648925781,SELL,0.0,-0.013079845801593049,-0.0,96341.63391404664,113412.13687730623
GS,2022-12-23,ARIMA,325.3618469238281,BUY,1.0,-0.0002025579125731758,-0.0017025579125731758,96177.60670291606,113389.16435159989
GS,2022-12-27,ARIMA,322.0282897949219,SELL,0.0,-0.01024569155979338,-0.0015,96033.34029286169,112227.41394743067
GS,2022-12-28,ARIMA,320.9924316,BUY,1.0,-0.003216668310667914,-0.0047166683106679135,95580.38287993477,111866.41558139776
GS,2022-12-29,ARIMA,323.4031677246094,HOLD,1.0,0.0075102584587212196,0.0075102584587212196,96298.21625894662,112706.56127526477
GS,2022-12-30,ARIMA,323.3560791015625,SELL,0.0,-0.00014560346881631325,-0.0015,96153.76893455819,112690.15080898472
GS,2023-01-03,ARIMA,326.0304260253906,BUY,1.0,0.00827059423549037,0.00677059423549037,96804.78708822718,113622.16532066205
GS,2023-01-04,ARIMA,327.4241638183594,SELL,0.0,0.004274870324097346,-0.0015,96659.57990759485,114107.88534335104
GS,2023-01-05,ARIMA,323.7138977050781,BUY,1.0,-0.011331680808199462,-0.012831680808199462,95419.27503116595,112814.85120894157
GS,2023-01-06,ARIMA,327.7820129394531,BUY,1.0,0.012567008284832148,0.012567008284832148,96618.40985101528,114232.59637873645
GS,2023-01-09,ARIMA,332.41510009765625,SELL,0.0,0.014134659546004125,-0.0015,96473.48223623878,115847.23523760599
GS,2023-01-10,ARIMA,336.5207824707031,HOLD,0.0,0.01235107060973073,0.0,96473.48223623878,117278.07261996774
GS,2023-01-11,ARIMA,343.2256774902344,HOLD,0.0,0.019924163287344587,0.0,96473.48223623878,119614.74008887303
GS,2023-01-12,ARIMA,348.36724853515625,SELL,0.0,0.014980146830850583,0.0,96473.48223623878,121406.58645853837
GS,2023-01-13,ARIMA,352.19049072265625,BUY,1.0,0.010974746344773578,0.009474746344773579,97387.54400942415,122738.99294950566
GS,2023-01-17,ARIMA,329.5147399902344,BUY,1.0,-0.06438490342511438,-0.06438490342511438,91117.2563935683,114836.45474195594
GS,2023-01-18,ARIMA,328.73309326171875,BUY,1.0,-0.0023721146087085643,-0.0023721146087085643,90901.11581857168,114564.04951005023
GS,2023-01-19,ARIMA,330.2962646484375,SELL,0.0,0.004755138496124189,-0.0015,90764.76414484382,115108.81743214736
GS,2023-01-20,ARIMA,321.9059143066406,BUY,1.0,-0.025402498422824826,-0.026902498422824828,88322.9652205891,112184.76587887401
GS,2023-01-23,ARIMA,328.7802429199219,BUY,1.0,0.021355086401838808,0.021355086401838808,90209.10977414138,114580.48124718743
GS,2023-01-24,ARIMA,328.01739501953125,SELL,0.0,-0.0023202364400479736,-0.0015,90073.79610948017,114314.62743927947
GS,2023-01-25,ARIMA,329.2416076660156,BUY,1.0,0.003732157699781302,0.002232157699781302,90274.85502701448,114741.26765627462
GS,2023-01-26,ARIMA,334.2702331542969,SELL,0.0,0.015273359658060981,-0.0015,90139.44274447397,116493.75230481074
GS,2023-01-27,ARIMA,333.07427978515625,SELL,0.0,-0.0035778039757090596,-0.0,90139.44274447397,116076.96049466931
GS,2023-01-30,ARIMA,336.6149902,BUY,1.0,0.010630392767426056,0.009130392767426056,90962.45126056792,117310.90417597666
GS,2023-01-31,ARIMA,344.47808837890625,HOLD,1.0,0.023359322691584028,0.023359322691584028,93087.27251238101,120051.20744186477
GS,2023-02-01,ARIMA,344.3839111328125,HOLD,1.0,-0.00027339110750679296,-0.00027339110750679296,93061.82327985407,120018.38650930472
GS,2023-02-02,ARIMA,347.9247131347656,HOLD,1.0,0.010281554647271651,0.010281554647271651,94018.64350148062,121252.36210887751
GS,2023-02-03,ARIMA,348.37664794921875,SELL,0.0,0.0012989442755624303,-0.0015,93877.6155362284,121409.86217053726
GS,2023-02-06,ARIMA,349.17706298828125,BUY,1.0,0.002297556520433508,0.000797556520433508,93952.48824062207,121688.80819101211
GS,2023-02-07,ARIMA,352.5671691894531,HOLD,1.0,0.009708845627370621,0.009708845627370621,94864.65844525762,122870.26604431737
GS,2023-02-08,ARIMA,353.2263488769531,HOLD,1.0,0.0018696570330567486,0.0018696570330567486,95042.02282110832,123099.99130138068
GS,2023-02-09,ARIMA,346.53094482421875,BUY,1.0,-0.018954996064199925,-0.018954996064199925,93240.50165260062,120766.63145075996
GS,2023-02-10,ARIMA,349.6291198730469,BUY,1.0,0.008940543680448831,0.008940543680448831,94074.12243041265,121846.35079438615
GS,2023-02-13,ARIMA,352.2093200683594,SELL,0.0,0.007379820640367019,-0.0015,93933.01124676704,122745.55500893196
GS,2023-02-14,ARIMA,350.09991455078125,BUY,1.0,-0.005989067856491448,-0.0074890678564914475,93229.54055157542,122010.42355090077
GS,2023-02-15,ARIMA,352.5107116699219,BUY,1.0,0.006886026014127911,0.006886026014127911,93871.52159309878,122850.59050146703
