Ticker,Date,Strategy,Close,Signal,Position,MarketReturn,StrategyReturn,Equity,BuyHoldEquity
SPY,2022-10-17,ARIMA,3677.949951171875,BUY,1.0,0.0,-0.0015,99850.0,100000.0
SPY,2022-10-18,ARIMA,3719.97998046875,SELL,0.0,0.011427569666488724,-0.0015,99700.225,101142.75696664887
SPY,2022-10-19,ARIMA,3695.159912109375,BUY,1.0,-0.0066720972934503076,-0.008172097293450307,98885.46506112113,100467.9226516396
SPY,2022-10-20,ARIMA,3665.780029296875,BUY,1.0,-0.007950909706564868,-0.007950909706564868,98099.23565712848,99669.11127023026
SPY,2022-10-21,ARIMA,3752.75,BUY,1.0,0.02372481982226482,0.02372481982226482,100426.62234779575,102033.74297696174
SPY,2022-10-24,ARIMA,3797.340087890625,SELL,0.0,0.011881976654619875,-0.0015,100275.98241427407,103246.10552899749
SPY,2022-10-25,ARIMA,3859.110107421875,BUY,1.0,0.016266654579669915,0.014766654579669915,101756.7232092227,104925.57426433385
SPY,2022-10-26,ARIMA,3830.60009765625,SELL,0.0,-0.007387716072364547,-0.0015,101604.08812440888,104150.41391293916
SPY,2022-10-27,ARIMA,3807.300048828125,BUY,1.0,-0.006082610618211248,-0.007582610618211248,100833.66388694308,103516.90749938121
SPY,2022-10-28,ARIMA,3901.06005859375,BUY,1.0,0.024626377895927698,0.024626377895927698,103316.8317984539,106066.15398207874
SPY,2022-10-31,ARIMA,3871.97998046875,SELL,0.0,-0.00745440410765752,-0.0015,103161.85655075623,105275.4940081513
SPY,2022-11-01,ARIMA,3856.10009765625,BUY,1.0,-0.004101230608784645,-0.005601230608784645,102584.0232021851,104843.73492977014
SPY,2022-11-02,ARIMA,3759.68994140625,HOLD,0.0,-0.02500198485734284,-0.0015,102430.14716738182,102222.43345666878
SPY,2022-11-03,ARIMA,3719.889892578125,BUY,1.0,-0.010585992315429671,-0.01208599231542967,101192.17719584852,101140.30756163195
SPY,2022-11-04,ARIMA,3770.550048828125,HOLD,0.0,0.013618724670070526,-0.0015,101040.38893005476,102517.70956336005
SPY,2022-11-07,ARIMA,3806.800048828125,SELL,0.0,0.009613981920559844,0.0,101040.38893005476,103503.31296963942
SPY,2022-11-08,ARIMA,3828.110107421875,HOLD,0.0,0.005597892802462701,0.0,101040.38893005476,104082.7134203432
SPY,2022-11-09,ARIMA,3748.570068359375,HOLD,0.0,-0.02077788695478977,-0.0,101040.38893005476,101920.09456694753
SPY,2022-11-10,ARIMA,3956.3701171875,BUY,1.0,0.05543448436034493,0.053934484360344925,106489.95020656595,107569.98245522387
SPY,2022-11-11,ARIMA,3992.929931640625,SELL,0.0,0.009240746788147902,-0.0015,106330.2152812561,108564.00942509809
SPY,2022-11-14,ARIMA,3957.25,BUY,1.0,-0.008935777048800997,-0.010435777048800996,105220.5768610299,107593.90564135149
